index_page,title,state,declaration_string,posted_date,posted_year,report_type,url,filename,local_path,status
20,Puerto Rico; FEMA-4571-DR,Puerto Rico,FEMA-4571-DR,2020-12-04T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4571DR-PR.pdf,PDAReport_FEMA4571DR-PR.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4571DR-PR.pdf,downloaded
20,Louisiana; FEMA-4570-DR,Louisiana,FEMA-4570-DR,2020-11-13T12:00:00Z,2020,Expedited,https://www.fema.gov/sites/default/files/documents/PDAReport_expedited_FEMA4570DR-LA.pdf,PDAReport_expedited_FEMA4570DR-LA.pdf,data/pdfs/Expedited/2020/PDAReport_expedited_FEMA4570DR-LA.pdf,downloaded
20,California; FEMA-4569-DR,California,FEMA-4569-DR,2020-11-13T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4569DR-CA.pdf,PDAReport_FEMA4569DR-CA.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4569DR-CA.pdf,downloaded
20,North Carolina; FEMA-4568-DR,North Carolina,FEMA-4568-DR,2020-11-12T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4568DR-NC.pdf,PDAReport_FEMA4568DR-NC.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4568DR-NC.pdf,downloaded
20,New York; FEMA-4567-DR,New York,FEMA-4567-DR,2020-10-30T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4567DR-NY.pdf,PDAReport_FEMA4567DR-NY.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4567DR-NY.pdf,downloaded
20,Delaware; FEMA-4566-DR,Delaware,FEMA-4566-DR,2020-10-30T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4566DR-DE.pdf,PDAReport_FEMA4566DR-DE.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4566DR-DE.pdf,downloaded
20,North Dakota; FEMA-4565-DR,North Dakota,FEMA-4565-DR,2020-10-30T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4565DR-ND.pdf,PDAReport_FEMA4565DR-ND.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4565DR-ND.pdf,downloaded
20,Florida; FEMA-4564-FL,Florida,FEMA-4564-FL,2020-10-22T12:00:00Z,2020,Expedited,https://www.fema.gov/sites/default/files/documents/PDAReport_expedited_FEMA4564DR-FL.pdf,PDAReport_expedited_FEMA4564DR-FL.pdf,data/pdfs/Expedited/2020/PDAReport_expedited_FEMA4564DR-FL.pdf,downloaded
20,Alabama; FEMA-4563-DR,Alabama,FEMA-4563-DR,2020-10-19T12:00:00Z,2020,Expedited,https://www.fema.gov/sites/default/files/documents/PDAReport_expedited_FEMA4563DR-AL.pdf,PDAReport_expedited_FEMA4563DR-AL.pdf,data/pdfs/Expedited/2020/PDAReport_expedited_FEMA4563DR-AL.pdf,downloaded
20,Oregon; FEMA-4562-DR,Oregon,FEMA-4562-DR,2020-10-14T12:00:00Z,2020,Expedited,https://www.fema.gov/sites/default/files/documents/PDAReport_expedited_FEMA4562DR-OR.pdf,PDAReport_expedited_FEMA4562DR-OR.pdf,data/pdfs/Expedited/2020/PDAReport_expedited_FEMA4562DR-OR.pdf,downloaded
