state_abbr,name,party,term_start,term_end,source_url
WY,Matt Mead,Republican,2011-01-03,2019-01-07,https://en.wikipedia.org/wiki/List_of_governors_of_Wyoming
WY,Mark Gordon,Republican,2019-01-07,,https://en.wikipedia.org/wiki/List_of_governors_of_Wyoming
AS,Togiola Tulafono,Democratic,2003-03-26,2013-01-03,https://en.wikipedia.org/wiki/List_of_governors_of_American_Samoa
AS,Lolo Matalasi Moliga,Independent,2013-01-03,2021-01-03,https://en.wikipedia.org/wiki/List_of_governors_of_American_Samoa
AS,Lemanu Peleti Mauga,Democratic,2021-01-03,2025-01-03,https://en.wikipedia.org/wiki/List_of_governors_of_American_Samoa
AS,Pula Nikolao Pula,Republican,2025-01-03,,https://en.wikipedia.org/wiki/List_of_governors_of_American_Samoa
GU,Felix Perez Camacho,Republican,2003-01-06,2011-01-03,https://en.wikipedia.org/wiki/List_of_governors_of_Guam
GU,Eddie Baza Calvo,Republican,2011-01-03,2019-01-07,https://en.wikipedia.org/wiki/List_of_governors_of_Guam
GU,Lou Leon Guerrero,Democratic,2019-01-07,,https://en.wikipedia.org/wiki/List_of_governors_of_Guam
MP,Benigno Fitial,Other,2006-01-09,2013-02-20,https://en.wikipedia.org/wiki/List_of_governors_of_the_Northern_Mariana_Islands
MP,Eloy Inos,Other,2013-02-20,2015-12-29,https://en.wikipedia.org/wiki/List_of_governors_of_the_Northern_Mariana_Islands
MP,Ralph Torres,Republican,2015-12-29,2023-01-09,https://en.wikipedia.org/wiki/List_of_governors_of_the_Northern_Mariana_Islands
MP,Arnold Palacios,Independent,2023-01-09,2025-07-23,https://en.wikipedia.org/wiki/List_of_governors_of_the_Northern_Mariana_Islands
MP,David M. Apatang,Independent,2025-07-23,,https://en.wikipedia.org/wiki/List_of_governors_of_the_Northern_Mariana_Islands
PR,Aníbal Acevedo Vilá,Democratic,2005-01-02,2009-01-02,https://en.wikipedia.org/wiki/List_of_governors_of_Puerto_Rico
PR,Luis Fortuño,Republican,2009-01-02,2013-01-02,https://en.wikipedia.org/wiki/List_of_governors_of_Puerto_Rico
PR,Alejandro García Padilla,Democratic,2013-01-02,2017-01-02,https://en.wikipedia.org/wiki/List_of_governors_of_Puerto_Rico
PR,Ricardo Rosselló,Democratic,2017-01-02,2019-08-02,https://en.wikipedia.org/wiki/List_of_governors_of_Puerto_Rico
PR,Wanda Vázquez Garced,Republican,2019-08-07,2021-01-02,https://en.wikipedia.org/wiki/List_of_governors_of_Puerto_Rico
PR,Pedro Pierluisi,Democratic,2021-01-02,2025-01-02,https://en.wikipedia.org/wiki/List_of_governors_of_Puerto_Rico
PR,Jenniffer González-Colón,Republican,2025-01-02,,https://en.wikipedia.org/wiki/List_of_governors_of_Puerto_Rico
VI,Charles Wesley Turnbull,Democratic,1999-01-04,2007-01-01,https://en.wikipedia.org/wiki/List_of_governors_of_the_United_States_Virgin_Islands
VI,John de Jongh,Democratic,2007-01-01,2015-01-05,https://en.wikipedia.org/wiki/List_of_governors_of_the_United_States_Virgin_Islands
VI,Kenneth Mapp,Independent,2015-01-05,2019-01-07,https://en.wikipedia.org/wiki/List_of_governors_of_the_United_States_Virgin_Islands
VI,Albert Bryan Jr.,Democratic,2019-01-07,,https://en.wikipedia.org/wiki/List_of_governors_of_the_United_States_Virgin_Islands
